COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF07_T,LINF07_C1,LINF07_C2,LINF07_C3,LINF07_C4,LINF07_C5,LINF07_C6,LINF07_C7,LINF07_C8,LINF08_T,LINF08_C1,LINF08_C2,LINF08_C3,LINF08_C4,LINF08_C5,LINF08_C6,LINF08_C7,LINF08_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_屋齡未滿5年棟數,不含車位_屋齡5至未滿10年棟數,不含車位_屋齡10至未滿20年棟數,不含車位_屋齡20至未滿30年棟數,不含車位_屋齡30至未滿40年棟數,不含車位_屋齡40至未滿50年棟數,不含車位_屋齡50年以上棟數,不含車位_屋齡不詳棟數,不含車位_各屋齡合計面積,不含車位_屋齡未滿5年面積,不含車位_屋齡5至未滿10年面積,不含車位_屋齡10至未滿20年面積,不含車位_屋齡20至未滿30年面積,不含車位_屋齡30至未滿40年面積,不含車位_屋齡40至未滿50年面積,不含車位_屋齡50年以上面積,不含車位_屋齡不詳面積,不含車位_各屋齡整體中位數房價,不含車位_屋齡未滿5年中位數房價,不含車位_屋齡5至未滿10年中位數房價,不含車位_屋齡10至未滿20年中位數房價,不含車位_屋齡20至未滿30年中位數房價,不含車位_屋齡30至未滿40年中位數房價,不含車位_屋齡40至未滿50年中位數房價,不含車位_屋齡50年以上中位數房價,不含車位_屋齡不詳中位數房價,不含車位_各屋齡整體交易單價中位數,不含車位_屋齡未滿5年交易單價中位數,不含車位_屋齡5至未滿10年交易單價中位數,不含車位_屋齡10至未滿20年交易單價中位數,不含車位_屋齡20至未滿30年交易單價中位數,不含車位_屋齡30至未滿40年交易單價中位數,不含車位_屋齡40至未滿50年交易單價中位數,不含車位_屋齡50年以上交易單價中位數,不含車位_屋齡不詳交易單價中位數,含車位_各屋齡合計棟數,含車位_屋齡未滿5年棟數,含車位_屋齡5至未滿10年棟數,含車位_屋齡10至未滿20年棟數,含車位_屋齡20至未滿30年棟數,含車位_屋齡30至未滿40年棟數,含車位_屋齡40至未滿50年棟數,含車位_屋齡50年以上棟數,含車位_屋齡不詳棟數,含車位_各屋齡合計面積,含車位_屋齡未滿5年面積,含車位_屋齡5至未滿10年面積,含車位_屋齡10至未滿20年面積,含車位_屋齡20至未滿30年面積,含車位_屋齡30至未滿40年面積,含車位_屋齡40至未滿50年面積,含車位_屋齡50年以上面積,含車位_屋齡不詳面積,含車位_各屋齡整體中位數房價,含車位_屋齡未滿5年中位數房價,含車位_屋齡5至未滿10年中位數房價,含車位_屋齡10至未滿20年中位數房價,含車位_屋齡20至未滿30年中位數房價,含車位_屋齡30至未滿40年中位數房價,含車位_屋齡40至未滿50年中位數房價,含車位_屋齡50年以上中位數房價,含車位_屋齡不詳中位數房價,含車位_各屋齡整體交易單價中位數,含車位_屋齡未滿5年交易單價中位數,含車位_屋齡5至未滿10年交易單價中位數,含車位_屋齡10至未滿20年交易單價中位數,含車位_屋齡20至未滿30年交易單價中位數,含車位_屋齡30至未滿40年交易單價中位數,含車位_屋齡40至未滿50年交易單價中位數,含車位_屋齡50年以上交易單價中位數,含車位_屋齡不詳交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,393,203,9,50,65,43,7,3,13,19728.95,12512.28,576.43,1901.92,2532.26,1506.09,163.65,122.49,413.83,7800000,12400000,9300000,4525000,4300000,4300000,5300000,13500000,6000000,176313,190886,165863,153230,135483,134453,212587,300769,213892,45,16,2,12,15,,,,,2185.91,919.15,82.35,558.63,625.78,,,,,6046632,6048371,7050000,6400000,4950000,,,,,122878,103047,170716,138284,126341,,,,,"104Y4S"
10002,宜蘭縣,10002020,羅東鎮,235,41,7,44,96,30,14,,3,9498.16,2707.78,250.26,1237.95,3714.74,1052.35,509.46,,25.62,5100000,10760000,4000000,3550000,4500000,5325000,7000000,,1533333,159456,171957,190891,152748,142207,173512,225559,,179577,64,38,4,6,16,,,,,4909.42,3769,88.18,435.31,616.93,,,,,18700000,21790000,3150000,4900000,5049500,,,,,215403,231934,184093,140063,123439,,,,,"104Y4S"
10002,宜蘭縣,10002030,蘇澳鎮,84,27,,7,10,32,4,4,,4085.63,1727.96,,318.23,483.9,1329.98,118.62,106.94,,3600000,7330000,,4500000,2790000,2500000,3150000,2044374,,90720,121346,,90223,71914,67282,124893,65831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10002,宜蘭縣,10002040,頭城鎮,82,55,3,10,1,7,4,,2,2244.13,1178.27,126.23,426.47,32.37,264.04,171.57,,45.19,3800000,3750000,7400000,4050000,3750000,3900000,4250000,,1951810,216448,229650,168232,159185,115857,113726,85833,,77138,66,60,,6,,,,,,1850.83,1542.4,,308.44,,,,,,6125000,6200000,,4000000,,,,,,235056,239352,,78199,,,,,,"104Y4S"
10002,宜蘭縣,10002050,礁溪鄉,438,314,24,33,31,31,2,,3,12625.91,9311.05,740.35,780,630.63,1026.94,50.21,,86.72,7350000,7730000,6625000,3400000,3400000,3510000,9250000,,8000000,334057,356254,318177,193039,188854,146513,368416,,335741,23,21,,1,1,,,,,836.71,785.34,,35.62,15.75,,,,,11270000,11310000,,7500000,1800000,,,,,285280,285937,,210560,114255,,,,,"104Y4S"
10002,宜蘭縣,10002060,壯圍鄉,95,68,3,2,13,9,,,,5455.19,4182.01,235.95,94.53,612.03,330.66,,,,7460000,7575000,12000000,3880000,3150000,3950000,,,,124780,129842,183168,82827,86018,109500,,,,1,,,,1,,,,,50.56,,,,50.56,,,,,4700000,,,,4700000,,,,,92959,,,,92959,,,,,"104Y4S"
10002,宜蘭縣,10002070,員山鄉,64,32,3,4,11,12,1,,1,3493.25,2181.19,136.14,234.33,477.81,388.98,31.73,,43.08,8000000,9750000,8500000,7250000,4500000,2064000,4527250,,1300000,157539,169776,222170,123138,103383,60063,142698,,30179,2,,,1,1,,,,,86.68,,,51.65,35.03,,,,,4300000,,,4600000,4000000,,,,,101629,,,89058,114199,,,,,"104Y4S"
10002,宜蘭縣,10002080,冬山鄉,183,103,8,18,19,24,9,1,1,11346.73,6389.46,605.05,1684.8,1637.61,697.58,300.68,5.09,26.45,7800000,9000000,9150000,5150000,7300000,3300000,4500000,1400000,4000000,147033,149758,167555,110610,126522,113576,155584,274828,151225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10002,宜蘭縣,10002090,五結鄉,274,201,8,19,26,17,2,1,,15322.77,12226.53,670.71,697.34,1053.24,584.29,44.49,46.17,,8570000,9160000,15375000,3000000,3500000,4100000,5475000,8000000,,150140,155607,188183,101826,104376,123627,246779,173282,,61,48,1,5,7,,,,,4104.66,3631.59,28.32,202.05,242.7,,,,,9080000,9480000,6310000,4100000,4000000,,,,,119837,120726,222834,105839,104360,,,,,"104Y4S"
10002,宜蘭縣,10002100,三星鄉,45,25,2,5,4,9,,,,2673.02,1669.03,137.72,433.31,173.17,259.8,,,,7950000,8450000,18600000,6250000,4400000,3430000,,,,144719,151452,282531,103663,80575,100389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10002,宜蘭縣,10002110,大同鄉,1,,1,,,,,,,114.59,,114.59,,,,,,,15300000,,15300000,,,,,,,133516,,133516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10002,宜蘭縣,10002120,南澳鄉,2,,,,,2,,,,35.96,,,,,35.96,,,,900000,,,,,900000,,,,51287,,,,,51287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10004,新竹縣,10004010,竹北市,664,522,47,39,36,7,1,,12,33930.42,28025.15,1953.19,1792.54,1156.78,322.93,33.99,,645.83,9740000,10030000,5850000,6300000,3800000,9500000,8000000,,5275000,218027,222698,229030,173849,139686,199593,235350,,122489,801,597,99,87,16,,,,2,42349.78,32691.74,4978.94,3982.28,618.87,,,,77.94,9050000,9270000,9100000,8350000,4840000,,,,4705000,181020,180971,186723,179311,140651,,,,121490,"104Y4S"
10004,新竹縣,10004020,竹東鎮,209,58,9,43,39,4,2,,54,10806.4,3550.54,535.67,3335.22,1281.37,103.52,47.57,,1952.53,5000000,10600000,10600000,4500000,3220000,4950000,3890000,,4550000,138215,210794,170226,112204,99948,191944,157378,,142968,431,384,4,17,22,,,,4,21287.9,19299.02,170.1,708.37,913.91,,,,196.49,6750000,6835000,6015000,4500000,4060000,,,,5475000,139440,141021,133788,127025,93904,,,,113625,"104Y4S"
10004,新竹縣,10004030,新埔鎮,52,39,1,3,2,2,,,5,3543.14,3015.55,53.35,186.47,48.14,47.35,,,192.27,14100000,15250000,7800000,10500000,3000000,2750000,,,5800000,194003,206038,146199,107707,116658,113302,,,179791,2,,,1,1,,,,,114.09,,,71.39,42.7,,,,,4000000,,,3500000,4500000,,,,,77202,,,49026,105377,,,,,"104Y4S"
10004,新竹縣,10004040,關西鎮,9,2,1,1,1,1,1,,2,450.33,109.65,109.9,52.87,53.73,33.54,26.92,,63.71,3650000,9135000,9000000,3000000,3650000,3150000,1000000,,4756848,92987,167227,81894,56742,67928,93914,37144,,150328,3,,,3,,,,,,151.62,,,151.62,,,,,,3000000,,,3000000,,,,,,58665,,,58665,,,,,,"104Y4S"
10004,新竹縣,10004050,湖口鄉,329,206,18,41,42,7,,,15,35675.62,13822.8,1060.82,17693.45,1721.15,878.84,,,498.55,7000000,9110000,6775000,4000000,3590000,6000000,,,4600000,156485,168111,137658,118828,118815,137723,,,157418,48,40,3,4,1,,,,,1521.74,1216.83,107.54,170.69,26.68,,,,,4810000,4830000,4700000,3550000,3000000,,,,,142417,143693,148321,91879,112454,,,,,"104Y4S"
10004,新竹縣,10004060,新豐鄉,207,91,19,35,21,12,6,,23,14949.51,5395.36,1265.19,1575.45,810.68,365.8,3976.97,,1560.06,8000000,8680000,7450000,5500000,2680000,4590000,149000000,,6000000,140639,152416,122989,141770,85446,131601,189368,,127009,10,7,2,1,,,,,,308.05,170.98,94.22,42.85,,,,,,4890000,4800000,7000000,1320000,,,,,,151531,170401,148570,30808,,,,,,"104Y4S"
10004,新竹縣,10004070,芎林鄉,18,9,,3,3,,,,3,1206.99,596.68,,309.32,102.81,,,,198.16,4000000,4000000,,900000,3100000,,,,3360000,78194,70400,,79807,91174,,,,130558,2,,,1,1,,,,,86.03,,,45.69,40.34,,,,,3720000,,,3820000,3620000,,,,,86668,,,83608,89727,,,,,"104Y4S"
10004,新竹縣,10004080,橫山鄉,4,,,1,1,,,,2,136.62,,,33.24,21.87,,,,81.5,2750000,,,7000000,1459000,,,,2750000,76190,,,210560,66710,,,,64379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10004,新竹縣,10004090,北埔鄉,1,,,1,,,,,,31.69,,,31.69,,,,,,6500000,,,6500000,,,,,,205113,,,205113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10004,新竹縣,10004100,寶山鄉,19,3,4,7,3,1,,,1,1329.96,175.67,359.55,522.62,199.11,45.35,,,27.67,9500000,4775000,14190000,9650000,7180000,9500000,,,4900000,151807,145284,151272,151807,99088,209464,,,177109,4,,,1,3,,,,,156.33,,,33.44,122.88,,,,,3975000,,,4300000,3650000,,,,,94923,,,128583,85855,,,,,"104Y4S"
10004,新竹縣,10004110,峨眉鄉,3,,,1,,1,,,1,213.85,,,62.09,,38.66,,,113.1,8000000,,,8000000,,1600000,,,16800000,128837,,,128837,,41387,,,148543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10004,新竹縣,10004120,尖石鄉,1,,,1,,,,,,44.82,,,44.82,,,,,,5000000,,,5000000,,,,,,111546,,,111546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10004,新竹縣,10004130,五峰鄉,1,,,,,1,,,,26.32,,,,,26.32,,,,1800000,,,,,1800000,,,,68396,,,,,68396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005010,苗栗市,262,97,13,23,57,38,6,2,26,11697.91,4650.5,527.24,1534.39,2393.53,1426.3,245.86,74.32,845.76,4110000,4360000,2500000,5000000,3280000,3500000,2350000,7250000,2900000,107199,115688,108386,89305,82568,93914,81468,222696,92408,32,17,2,7,6,,,,,2499.35,720.15,70.94,1485.66,222.6,,,,,5765000,5800000,5000000,5100000,2990000,,,,,132040,139399,125256,88013,89005,,,,,"104Y4S"
10005,苗栗縣,10005020,苑裡鎮,36,14,1,3,9,2,,,7,3185.27,2106.12,58.35,153.59,390.84,83.72,,,392.65,5519375,6330125,6450000,4500000,4400000,2850000,,,6500000,90922,85895,110541,98560,96792,68137,,,132460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005030,通霄鎮,30,2,1,10,5,4,4,,4,1258.05,132.64,10.5,413.55,256.88,146.28,154.54,,143.66,2400000,8071000,5800000,2125000,2880000,2150625,2773333,,2400000,66151,121708,552393,63932,68289,65520,60007,,64923,2,,,,2,,,,,25.18,,,,25.18,,,,,1050000,,,,1050000,,,,,83409,,,,83409,,,,,"104Y4S"
10005,苗栗縣,10005040,竹南鎮,343,248,21,22,22,25,2,2,1,22129.4,16091.31,1168.05,2470.34,1170.06,1012.53,90.24,68.11,58.76,10300000,11300000,8500000,5000000,5275000,3350000,10818520,8925000,4414300,153298,159450,139700,114033,108764,101740,207488,267534,75123,86,67,,7,12,,,,,3660.68,2962.79,,303.46,394.43,,,,,5500000,5600000,,4300000,3150000,,,,,136785,141786,,117365,94276,,,,,"104Y4S"
10005,苗栗縣,10005050,頭份市,257,97,23,38,48,30,12,1,8,15302.57,7076.91,1249.29,2016.31,2015.76,1030.45,1381.29,22.17,510.38,5000000,5700000,8400000,3960000,3450000,2750000,2950000,16000000,10340000,134266,153662,131967,85679,97059,105039,92715,721590,163408,81,56,7,8,10,,,,,3167.77,2340.97,282.7,216.88,327.23,,,,,6000000,6700000,6000000,2370000,4150000,,,,,145521,153001,209514,91620,118475,,,,,"104Y4S"
10005,苗栗縣,10005060,後龍鎮,24,5,,2,10,7,,,,1345.25,295.7,,64.52,551.75,433.28,,,,5250000,8400000,,2382500,5250000,3800000,,,,95739,146939,,68362,92334,75960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005070,卓蘭鎮,21,11,,1,5,3,,,1,1162.77,723.95,,32.44,200.99,155.31,,,50.08,3350000,3250000,,2000000,3600000,3980000,,,4250000,49383,47452,,61646,125851,71245,,,84871,1,,,1,,,,,,33.05,,,33.05,,,,,,2000000,,,2000000,,,,,,60507,,,60507,,,,,,"104Y4S"
10005,苗栗縣,10005080,大湖鄉,13,,4,1,1,4,2,1,,473.81,,173.82,15.42,38.74,189.89,36.11,19.81,,4950000,,5000000,1200000,4600000,5000000,2230000,4950000,,115060,,115060,77798,118727,87395,124196,249827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005090,公館鄉,37,13,2,6,5,5,1,,5,1915.3,805.88,108.03,343.39,256.27,155.78,47.5,,198.45,6950000,9060000,7225000,6440000,2500000,3500000,5500000,,3000000,131017,151433,136188,106532,54946,121956,115786,,74365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005100,銅鑼鄉,17,2,,4,3,5,2,,1,1393.35,88.7,,157.04,812.71,142.76,60.56,,131.57,4000000,5850000,,1950000,4350000,2480000,4000000,,5700000,76691,133338,,72522,69897,116454,132099,,43323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005110,南庄鄉,1,,,,1,,,,,157.28,,,,157.28,,,,,28000000,,,,28000000,,,,,178024,,,,178024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005120,頭屋鄉,7,,,,1,6,,,,285.31,,,,83.08,202.24,,,,2500000,,,,9000000,1860000,,,,62950,,,,108331,46564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005130,三義鄉,21,1,,6,5,4,,,5,1127.84,127.8,,319.49,271.3,153.06,,,256.2,4660000,13500000,,5850000,4660000,3505000,,,4600000,95228,105636,,107022,91315,131260,,,83224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005140,西湖鄉,1,,,,,,,,1,12.22,,,,,,,,12.22,1600000,,,,,,,,1600000,130922,,,,,,,,130922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005150,造橋鄉,24,2,,16,3,3,,,,980.31,131.23,,618.44,135.1,95.53,,,,500000,5550000,,375000,2500000,1900000,,,,53809,92268,,53809,72648,52009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005160,三灣鄉,1,,,,,1,,,,38.12,,,,,38.12,,,,5050000,,,,,5050000,,,,132494,,,,,132494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005170,獅潭鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10005,苗栗縣,10005180,泰安鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10007,彰化縣,10007010,彰化市,356,102,7,41,71,100,29,4,2,19108.51,7432.67,382.58,1942.52,4536.11,3752.04,892.93,74.15,95.5,6430000,13050000,6380000,4500000,4500000,4150000,4000000,1934000,4585000,151575,172588,126687,128785,113156,134504,166520,118091,104720,106,53,8,18,27,,,,,6001.22,3640.91,421.77,828.75,1109.78,,,,,7890000,8650000,5344230,5400000,4150000,,,,,147703,156199,96476,127013,111075,,,,,"104Y4S"
10007,彰化縣,10007020,鹿港鎮,117,57,4,13,10,25,6,2,,7109.69,3042.84,206.74,746.31,855.23,1878.29,252.89,127.39,,6780000,6850000,7000000,5000000,4025000,8300000,6075000,6357036,,127048,130630,126505,82888,87158,157318,149265,101699,,5,,,3,2,,,,,216.15,,,145.23,70.92,,,,,3080000,,,3350000,1750000,,,,,64004,,,68806,49353,,,,,"104Y4S"
10007,彰化縣,10007030,和美鎮,141,59,11,12,24,30,5,,,7073.23,3418.47,635.91,660.56,1112.4,1109.29,136.6,,,6200000,6900000,7650000,5925000,4975000,3700000,3400000,,,128016,146994,153046,105103,113586,95080,125219,,,5,,1,3,1,,,,,200.15,,41.69,108.75,49.71,,,,,4000000,,5880000,3900000,4000000,,,,,112805,,141029,112805,80467,,,,,"104Y4S"
10007,彰化縣,10007040,線西鄉,10,1,4,2,2,1,,,,8426.2,56.07,4506.15,3704.37,80.37,79.24,,,,12666667,5900000,12666667,43950000,4150000,6100000,,,,30906,105223,15076,23738,105194,76979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10007,彰化縣,10007050,伸港鄉,44,27,,3,7,7,,,,2548.97,1546.98,,427.78,296.56,277.65,,,,3503200,3538000,,7800000,3600000,3000000,,,,73715,73585,,66679,82285,66182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10007,彰化縣,10007060,福興鄉,41,17,,2,10,12,,,,2082.39,906.22,,181.68,539.98,454.51,,,,5400000,7000000,,6040000,7216667,3200000,,,,106384,129472,,92540,89883,83587,,,,1,,,,1,,,,,41.19,,,,41.19,,,,,2950000,,,,2950000,,,,,71612,,,,71612,,,,,"104Y4S"
10007,彰化縣,10007070,秀水鄉,42,22,1,5,5,7,2,,,2072.96,1068.52,55.19,252.01,343.81,201.09,152.34,,,5880000,5880000,7750000,5230000,6200000,6733333,10400000,,,123751,125122,140421,116263,115098,347064,109889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10007,彰化縣,10007080,花壇鄉,92,64,1,4,6,15,1,,1,5645.41,3491.16,47.61,512.92,899.76,466.41,149.6,,77.95,6450000,7400000,5500000,18250000,8800000,3500000,21500000,,12760800,135511,140873,115528,137287,130221,119144,143715,,163696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
10007,彰化縣,10007090,芬園鄉,8,2,1,,3,2,,,,420.86,130.14,54.73,,183.21,52.78,,,,6000000,12250000,7100000,,5300000,3340000,,,,123517,179646,129717,,92279,125756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y4S"
