COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
09007,連江縣,09007010,南竿鄉,,,,,,,,,107Y2S
09007,連江縣,09007020,北竿鄉,,,,,,,,,107Y2S
09007,連江縣,09007030,莒光鄉,,,,,,,,,107Y2S
09007,連江縣,09007040,東引鄉,,,,,,,,,107Y2S
09020,金門縣,09020010,金城鎮,53,1979.35,6000000,201992,,,,,107Y2S
09020,金門縣,09020020,金沙鎮,1,29.07,5200000,178877,,,,,107Y2S
09020,金門縣,09020030,金湖鎮,40,1285.85,5950000,186490,3,103.16,7500000,186292,107Y2S
09020,金門縣,09020040,金寧鄉,31,944.30,4592850,194039,,,,,107Y2S
09020,金門縣,09020050,烈嶼鄉,,,,,,,,,107Y2S
09020,金門縣,09020060,烏坵鄉,,,,,,,,,107Y2S
10002,宜蘭縣,10002010,宜蘭市,232,10623.00,7035000,174968,45,2665.99,6250000,129305,107Y2S
10002,宜蘭縣,10002020,羅東鎮,141,5272.97,4650000,165170,19,764.64,5500000,140729,107Y2S
10002,宜蘭縣,10002030,蘇澳鎮,56,2678.72,4940000,108689,,,,,107Y2S
10002,宜蘭縣,10002040,頭城鎮,28,1172.54,6291083,171636,9,656.46,9700000,157203,107Y2S
10002,宜蘭縣,10002050,礁溪鄉,124,3425.96,5080000,200924,13,535.58,5650000,183494,107Y2S
10002,宜蘭縣,10002060,壯圍鄉,37,2120.67,8250000,147360,1,52.94,4600000,86890,107Y2S
10002,宜蘭縣,10002070,員山鄉,31,1508.87,5600000,137845,,,,,107Y2S
10002,宜蘭縣,10002080,冬山鄉,95,6430.37,8600000,155343,3,102.48,6300000,167918,107Y2S
10002,宜蘭縣,10002090,五結鄉,99,6077.42,7250000,149428,18,876.73,4340000,114932,107Y2S
10002,宜蘭縣,10002100,三星鄉,38,2222.43,7750000,154866,2,91.00,5800000,128677,107Y2S
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,107Y2S
10002,宜蘭縣,10002120,南澳鄉,1,9.80,3200000,326497,,,,,107Y2S
10004,新竹縣,10004010,竹北市,393,19815.01,10500000,232084,452,26511.42,10325000,197817,107Y2S
